id,name,description,imageUrl,isVeg,isAvailable,sortOrder,categoryId,restaurantId,createdAt,updatedAt,menuType,deletedAt,isDeleted,basePrice
c7851569-6d95-4fd8-aa6c-1a69f5285676,BONELESS CHICKEN BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648503/jpr1m0adldmyy0xxmr12.jpg,false,true,5,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:57.6,2026-06-01 22:03:17.971,FOOD,null,false,0.00
f6e969bd-0b2c-4ffa-9d83-391dddce5e1a,Chicken Fry Biryani,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648392/xnbpgsm6s8bfhllztkgp.jpg,false,true,6,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:57.91,2026-05-31 04:51:01.473,FOOD,null,false,0.00
2fd06658-46bc-4468-9ad4-e34a99c7cbe7,CHICKEN DUM BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648286/co9u6zlh1g6rzed9aqud.jpg,false,true,7,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:58.214,2026-06-01 22:03:21.617,FOOD,null,false,0.00
f1dc411a-ff4f-4201-aec3-fbe417cdaada,LOLLIPOP BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648433/ew81rblutfvojscw3no8.jpg,false,true,8,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:58.518,2026-06-01 22:03:22.13,FOOD,null,false,0.00
5905df98-300a-4899-bd74-983fdf0b8fcf,SPL VEG BIRYANI,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779648055/lbu64r1rioi2sncqoynu.jpg,true,true,1,db3f4ade-7043-4ca6-9966-29baaf724e4e,bar-001,2026-05-31 04:39:55.159,2026-06-01 22:04:34.375,FOOD,null,false,0.00
9e528f78-f178-4a2d-a759-b94f567facf8,SEGRAMS BLENDERS PRIDE 30ML,null,null,true,true,401,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:23:39.244,2026-06-01 22:04:04.507,LIQUOR,null,false,0.00
fe0f35f7-09bb-4e77-b799-c36508753cd6,TOMATO SOUP,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779643491/mcc1jnbzuf1pawkivfvw.jpg,true,true,0,9b8b6aea-5b66-4221-9e40-4aa4d474f6f9,bar-001,2026-05-31 04:39:22.695,2026-06-01 22:00:23.831,FOOD,null,false,0.00
5e4df562-cd6d-4882-b9f1-b59daf88f097,MUSHROOM CURRY,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779652545/sxabejixt8zhfbedoqlv.jpg,true,true,6,34210adb-f616-480f-b05a-fda4c1d02801,bar-001,2026-05-31 04:39:46.914,2026-06-01 22:04:39.366,FOOD,null,false,0.00
55596153-0312-420b-af63-ef94029cd8c0,CASHEWNUT CURRY,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779652252/ijzwcqzh90o2pjbhqyzb.jpg,true,true,7,34210adb-f616-480f-b05a-fda4c1d02801,bar-001,2026-05-31 04:39:47.241,2026-06-01 22:04:26.51,FOOD,null,false,0.00
2b2142c4-aa72-4d48-aa4d-944bb3b24fb7,Kadai Paneer,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779652792/j3bcippmtqh6voslamm7.jpg,true,true,3,34210adb-f616-480f-b05a-fda4c1d02801,bar-001,2026-05-31 04:39:45.926,2026-05-31 04:52:06.765,FOOD,null,false,0.00
