,,,,,,
,,,,,,
,,Bar Ac Hall,Conference Hall,pdr,rooms,parcel
,Plain Dosa,30.00,30.00,45.00,30.00,0.00
,Masala Omlet,100.00,110.00,130.00,110.00,100.00
,Red Label 30Ml,183.00,193.00,195.00,193.00,0.00
,Black And White 30Ml,162.00,162.00,165.00,162.00,105.00
,Signature 30Ml,94.00,100.00,105.00,100.00,0.00
,Ballantines 30Ml,173.00,183.00,185.00,183.00,0.00
,Vat 69 30Ml,146.00,146.00,0.00,146.00,0.00
,Johnnie Blonde 30Ml,273.00,280.00,285.00,280.00,0.00
,Black Label,330.00,350.00,360.00,350.00,0.00
,Dal Fry,280.00,300.00,330.00,300.00,280.00
,Dal Thadaka,280.00,300.00,330.00,300.00,280.00
,V Grand Spl Veg Soup,180.00,200.00,230.00,200.00,180.00
,Today Spl Veg Indian,280.00,300.00,330.00,300.00,280.00
,Today Spl Egg,230.00,250.00,280.00,250.00,230.00
,Chilli Chicken Bones,330.00,350.00,380.00,350.00,330.00
,Chicken 65 Bones,330.00,350.00,380.00,350.00,330.00
,Star Chicken B/L,390.00,410.00,440.00,410.00,390.00
,Today Spl Prawns Cheness,460.00,480.00,510.00,480.00,460.00
,Today Spl Prawns Indian,460.00,480.00,510.00,480.00,460.00
,Chilli Mutton,520.00,540.00,570.00,540.00,520.00
,Basket Chicken B/L,380.00,400.00,430.00,400.00,380.00
,Paneer Tikka Masala,370.00,390.00,420.00,390.00,370.00
,Aloo Gobi Masala,230.00,250.00,280.00,250.00,230.00
,Today Spl Veg Curry,270.00,290.00,320.00,290.00,270.00
,Budweiser Magnum Beer,495.00,510.00,550.00,510.00,300.00
,Budweiser Beer,450.00,460.00,490.00,460.00,270.00
,Veg Dragon Soup 1/2,180.00,200.00,230.00,200.00,180.00
,Chicken Dragon Soup 1/2,190.00,210.00,240.00,210.00,0.00
,Thumsup 1Ltr,100.00,100.00,100.00,100.00,100.00
,Garelu With Chicken Carry Bones,410.00,430.00,460.00,430.00,410.00
,Garelu With Mutton Curry,580.00,600.00,630.00,600.00,580.00
,Mc Brandy 30Ml,45.00,50.00,0.00,50.00,0.00
,Bira Glod Beer,450.00,470.00,0.00,470.00,0.00
,Today Spl Veg Tandoori,350.00,370.00,400.00,370.00,350.00
,Karjura Beer,350.00,360.00,0.00,360.00,0.00
,Gulabjamun,70.00,80.00,90.00,80.00,70.00
,Gulabjamun With Ice Cream,110.00,120.00,130.00,120.00,110.00
,Today Spl Prawns Biryani,460.00,480.00,510.00,480.00,460.00
,Today Spl Mutton Biryani,520.00,540.00,570.00,540.00,520.00
,Today Spl Fish Biryani,430.00,450.00,480.00,450.00,430.00
,Today Spl Kheema Biryani,520.00,540.00,570.00,540.00,520.00
,Special Item,199.00,0.00,0.00,0.00,0.00
,Coolberg,160.00,160.00,0.00,160.00,0.00
,Gold Label 30Ml,560.00,560.00,570.00,560.00,0.00
,Thumsup 740Ml,50.00,55.00,55.00,55.00,50.00
,Morpheus Blue Brandy 30Ml,90.00,100.00,0.00,100.00,0.00
,Nalli Gosht Mutton Biryani 1 Piece,470.00,490.00,520.00,490.00,470.00
,Nalli Gosht Mutton Biryani 2 Pieces,610.00,630.00,660.00,630.00,610.00
,Bacardi Cranberry,260.00,270.00,270.00,270.00,160.00
,Mudhapapu Avakaya Annam,180.00,200.00,230.00,200.00,180.00
,Buffet,0.00,400.00,0.00,0.00,0.00
,Mixed Veg Friedrice,290.00,310.00,330.00,310.00,0.00
,Schezwan Mixed Veg Friedrice,300.00,320.00,340.00,320.00,0.00
,Hall Charges,0.00,2000.00,1000.00,2000.00,0.00
,Budweiser Tin Beer,300.00,320.00,340.00,320.00,180.00
,Deal Of The Day 149,149.00,0.00,0.00,0.00,0.00
,Deal Of The Day 79,79.00,0.00,0.00,0.00,0.00
,Leg Peppar Fry Bones,430.00,450.00,470.00,450.00,430.00
,Legacy Whisky 30Ml,90.00,100.00,100.00,100.00,0.00
,Royal Stag Barrel 30Ml,63.00,73.00,0.00,73.00,0.00
,Bonda Lime,139.00,149.00,149.00,149.00,0.00
,Today Spl Veg Biryani,319.00,329.00,340.00,329.00,319.00
,Smirnoff Orange Vodka 30Ml,78.00,88.00,88.00,88.00,0.00
,Mc Vsop Brandy 30Ml,48.00,58.00,58.00,58.00,0.00
,Jamson 30Ml,195.00,205.00,220.00,205.00,0.00
,Antiquity Blue 30Ml,93.00,103.00,103.00,103.00,0.00
,Chicken Fry Biryani Family Pack,710.00,750.00,790.00,750.00,710.00
,Chicken Dum Biryani Family Pack,680.00,720.00,770.00,720.00,680.00
,Sp Biryani Family Pack,710.00,750.00,790.00,720.00,710.00
,Water 300Ml,15.00,15.00,15.00,15.00,15.00
,Elite Wine 30Ml,55.00,65.00,75.00,65.00,0.00
,Chicken Pakoda B/L,319.00,329.00,350.00,329.00,319.00
,Hydarabad Blue 180Ml,0.00,0.00,0.00,0.00,170.00
,CHICKEN AFGHANI CURRY B/L,370.00,390.00,420.00,390.00,370.00
,Morpheus 180Ml,0.00,0.00,0.00,0.00,310.00
,Nepoleon Red 750Ml,0.00,0.00,0.00,0.00,940.00
,Nepoleon Green 750Ml,0.00,0.00,0.00,0.00,1190.00
,Napoleon Green 750Ml,0.00,0.00,0.00,0.00,1190.00
,Mansion House 180Ml,0.00,0.00,0.00,0.00,230.00
,Kyron 750Ml,0.00,0.00,0.00,0.00,1120.00
,Mansion House 750Ml,0.00,0.00,0.00,0.00,790.00
,Oab 180Ml,0.00,0.00,0.00,0.00,140.00
,Vat69 180Ml,0.00,0.00,0.00,0.00,550.00
,Vat69 375Ml,0.00,0.00,0.00,0.00,1160.00
,Vat69 750Ml,0.00,0.00,0.00,0.00,2230.00
,Red Label 750Ml,0.00,0.00,0.00,0.00,2760.00
,Johnnie Blonde 750Ml,0.00,0.00,0.00,0.00,3820.00
,Black Dog 180Ml,0.00,0.00,0.00,0.00,650.00
,Black Dog 750Ml,0.00,0.00,0.00,0.00,2560.00
,Mc Whisky 180Ml,0.00,0.00,0.00,0.00,220.00
,Mc Whisky 750Ml,0.00,0.00,0.00,0.00,740.00
,Mc Brandy 180Ml,0.00,0.00,0.00,0.00,200.00
,Mc Brandy 750Ml,0.00,0.00,0.00,0.00,700.00
,Royal Stag 180Ml,0.00,0.00,0.00,0.00,230.00
,Royal Stag 375Ml,0.00,0.00,0.00,0.00,440.00
,Royal Stag 750Ml,0.00,0.00,0.00,0.00,870.00
,Royal Challenge 180Ml,0.00,0.00,0.00,0.00,230.00
,Royal Challenge 750Ml,0.00,0.00,0.00,0.00,860.00
,Morpheus 180Ml,0.00,0.00,0.00,0.00,310.00
,Morpheus 375Ml,0.00,0.00,0.00,0.00,570.00
,Morpheus 750Ml,0.00,0.00,0.00,0.00,1090.00
,Royal Stag Barrel 750Ml,0.00,0.00,0.00,0.00,950.00
,Bp 180Ml,0.00,0.00,0.00,0.00,340.00
,Bp 750Ml,0.00,0.00,0.00,0.00,1350.00
,Magic Moments Orange 750Ml,0.00,0.00,0.00,0.00,910.00
,Magic Moments Green 750Ml,0.00,0.00,0.00,0.00,910.00
,Smirnoff Orange 180Ml,0.00,0.00,0.00,0.00,300.00
,Smirnoff Orange 750Ml,0.00,0.00,0.00,0.00,1190.00
,Absolut 180Ml,0.00,0.00,0.00,0.00,660.00
,Absolut 750Ml,0.00,0.00,0.00,0.00,2590.00
,Ballanties 750Ml,0.00,0.00,0.00,0.00,2640.00
,Teachers 750Ml,0.00,0.00,0.00,0.00,2440.00
,Legacy 750Ml,0.00,0.00,0.00,0.00,1340.00
,Black & White 750Ml,0.00,0.00,0.00,0.00,2410.00
