SOUPS,,,,STATERS NON VEG CHINESE,,,,FRIED RICE & NOODELS,,,,CURRIES VEG,,
53,KHEEMA BALLS (B/L),510,,108,TANDOORI BIRYANI,419,,161,PLAIN RICE,129,,MILKSHAKES,,
54,PEPPER MUTTON,519,,109,MUTTON DUM BIRYANI,509,,162,SAMBAR RICE,169,,219,VENILA MILKSHAKE,105
55,BASKET CHICKEN,519,,110,MUTTON FRY PIECE BIRYANI,509,,163,TOMATO RICE,169,,220,STRAWBERRY MILKSHAKE,105
,CHICKEN PAKODA,330,,111,MUTTON KHEEMA BIRYANI,509,,164,CURD RICE,169,,221,PISTA MILKSHAKE,120
,CHICKEN MAHARANI,400,,112,PRAWNS BIRYANI,454,,165,SPL CURD RICE (FRUITS & NUTS),219,,222,BLACK CURRENT MILKSHAKE,120
,LEMON CHICKEN,409,,,MIXED VEG BIRAYNI,400,,DRINKS,,,,223,MANGO MILKSHAKE,120
,,,,,MIXED NON VEG BIRYANI,499,,229,WATER BOTTEL,30,,224,CHOCKLATE MILKSHAKE,120
,,,,,WINGS BIRYANI,360,,230,THUMS UP 250ML,20,,225,BUTTER SCOH MILKSHAKE,120
,,,,,POT BIRYANI,444,,231,SPRITE 250ML,20,,226,LASSI,110
,,,,,,,,232,COKE 250ML,20,,227,MANGO LASSI,120
,,,,,,,,233,PULPY ORANGE 250ML,25,,228,BUTTER MILK,79
,,,,,,,,234,LIMCA 250ML,20,,,,
,,,,,,,,235,FRESH LIME SODA SALT,60,,,,
,,,,,,,,236,FRESH LIME SODA SWEET,60,,,,
,,,,,,,,237,MOJITHO,100,,,,
,,,,,,,,238,SODA 250ML,20,,,,
,,,,,,,,239,FRESH LIME SWEET & SALT,70,,,,
